n_cliques,c_max,m1,m2,m3,sbar,degeneracy,family,tau,kbar_target,n,seed,kbar,secs
282134,57,2.077197360119659,13.791595482997442,341.7983015163008,5.639520994867317,57,hrg,2.1,2.0,300000,2,2.0168466666666665,12.64
394960,28,2.440733238808993,15.52147052866113,216.58713793801905,5.359347380476188,38,config,2.1,2.0,300000,2,1.85216,15.81
283296,62,2.1860280413419177,15.440503925223087,400.2791956116571,6.063268921173015,61,hrg,2.1,2.0,300000,3,2.196886666666667,16.04
416880,23,2.883141431587027,21.386288620226445,287.08188927269237,6.417703615203624,36,config,2.1,2.0,300000,3,1.9718666666666667,19.69
896,12,2.966517857142857,12.513392857142858,70.41294642857144,3.218209179834462,11,hrg,2.1,4.0,1000,1,4.034,0.04
1515,7,2.3564356435643568,6.57029702970297,21.893069306930695,1.7882352941176465,8,config,2.1,4.0,1000,1,3.532,0.05
863,14,2.845886442641947,12.461181923522593,80.01158748551563,3.3786644951140055,13,hrg,2.1,4.0,1000,2,3.688,0.13
1608,6,2.202114427860697,5.5752487562189055,16.265547263681594,1.5317706862468223,7,config,2.1,4.0,1000,2,3.384,0.13
884,10,2.1368778280542986,6.5735294117647065,28.254524886877828,2.076230809952356,9,hrg,2.1,4.0,1000,3,2.304,0.13
1233,6,1.8937550689375509,4.182481751824818,10.774533657745335,1.2085653104925052,6,config,2.1,4.0,1000,3,2.104,0.14
2697,13,2.932146829810901,12.099369670003705,68.55617352614016,3.1264542235710664,12,hrg,2.1,4.0,3000,1,3.998666666666667,0.05
4463,7,2.261035178131302,5.778400179251625,16.771006049742326,1.5556436428500646,7,config,2.1,4.0,3000,1,3.332,0.27
2697,16,2.980719317760475,13.878012606599926,96.19317760474601,3.6559273541485258,15,hrg,2.1,4.0,3000,2,3.9926666666666666,0.12
4791,10,2.310373617198915,6.474848674598205,22.78125652264663,1.8025115186557046,10,config,2.1,4.0,3000,2,3.5153333333333334,0.14
2678,18,2.683719193427931,12.859223300970873,106.89058999253173,3.7915681090858495,17,hrg,2.1,4.0,3000,3,3.404,0.22
4793,10,2.3183809722511994,6.978510327561025,28.14854996870436,2.010079193664507,12,config,2.1,4.0,3000,3,3.1546666666666665,0.24
9047,27,3.0391289930363654,19.27368188349729,241.6079363324859,5.341843971631206,26,hrg,2.1,4.0,10000,1,3.9876,0.44
17607,15,2.6593400352132672,10.670017606633726,66.08649968762424,3.0122802896012653,17,config,2.1,4.0,10000,1,3.6764,0.51
8878,23,2.3860103626943,9.40020274836675,65.49211534129309,2.9397158098475202,22,hrg,2.1,4.0,10000,2,2.8148,0.49
14765,10,2.0838469353200133,5.419844226210634,18.8139519133085,1.6008840353614149,12,config,2.1,4.0,10000,2,2.6674,0.54
9263,32,3.0635863111303037,20.5160315232646,300.99730109035954,5.69673690887307,32,hrg,2.1,4.0,10000,3,4.0198,0.38
17383,14,2.8992694011390436,13.27216245757349,90.57492952885005,3.577761022262788,19,config,2.1,4.0,10000,3,3.5324,0.45
27882,58,4.018865217703177,51.705903450254645,1562.9758266982283,11.865796847948312,58,hrg,2.1,4.0,30000,1,5.422866666666667,1.65
72579,26,4.767425839430138,47.45470452885821,684.9482219374751,8.953947083218935,36,config,2.1,4.0,30000,1,4.8712,2.06
27585,38,3.0881276055827445,22.071778140293638,353.05093347833963,6.1473011997276545,38,hrg,2.1,4.0,30000,2,4.0258,0.61
53489,15,2.8506608835461495,13.078072126979379,92.39759576735403,3.587733392795074,22,config,2.1,4.0,30000,2,3.5860666666666665,0.86
27207,32,2.3008049399051713,11.560848311096409,147.37192634248538,4.024697274673312,32,hrg,2.1,4.0,30000,3,2.5412,1.28
46106,12,2.3164664035049665,8.193922699865528,45.41896933154036,2.537250826287652,21,config,2.1,4.0,30000,3,2.4520666666666666,1.43
92928,62,3.331041236225895,37.80332085055097,1174.4635954717635,10.348800020675375,63,hrg,2.1,4.0,100000,1,4.07248,6.08
198960,27,3.701442501005227,30.147009449135506,406.1872084841174,7.14466507069832,39,config,2.1,4.0,100000,1,3.704,7.63
93145,56,3.215245048043373,31.809780449836275,838.9524075366364,8.893423354836985,58,hrg,2.1,4.0,100000,2,4.0314,2.81
186448,23,3.568163777568009,28.255143525272466,374.9451160645327,6.91867898634704,35,config,2.1,4.0,100000,2,3.62524,4.02
92681,65,3.1971062029973782,33.07095305402402,941.1737572965333,9.34402705265751,64,hrg,2.1,4.0,100000,3,3.9623,2.99
191234,27,3.7812366001861597,33.846831630358615,499.8793990608364,7.951259920813273,38,config,2.1,4.0,100000,3,3.62538,4.12
280974,101,3.520226070739641,67.35507199954442,3889.5757045135847,18.13373477896899,102,hrg,2.1,4.0,300000,1,4.02742,16.2
764011,38,9.586132922169966,214.26829849308453,5792.922255046066,21.351901463575956,63,config,2.1,4.0,300000,1,3.67022,22.9
280288,88,3.4650930471515022,58.21146820413289,2853.8200351067476,15.799395402090553,88,hrg,2.1,4.0,300000,2,4.03842,12.81
647558,39,6.451412846416845,118.39194326994647,3003.375277581313,17.351320259360254,56,config,2.1,4.0,300000,2,3.7045133333333333,19.29
281282,88,3.578387525685966,57.37664692372779,2766.0311857850843,15.034218348871775,91,hrg,2.1,4.0,300000,3,4.300046666666667,26.9
672721,35,6.2765723085796346,101.83974039757938,2270.239671423963,15.225375155540164,55,config,2.1,4.0,300000,3,3.831933333333333,35.01
